file_name,file_source_id,version,file_creation_day,pulse_format,pulse_length,scale_x,scale_y,scale_z,scale_t,offset_x,offset_y,offset_z,offset_t,min_x,min_y,min_z,min_t,max_x,max_y,max_z,max_t,number_of_pulses,vlrs,file_size,flight_tag
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_161348_1 - originalpoints.pls,0,0_3,149_2019,0,48,0.000250,0.000250,0.000250,0.000001,980394.000000,172675.000000,1131.000000,0.000000,979864.124,172549.915,66.587,576830.909467,980944.004,174383.116,1386.908,576853.315498,4808941,vrlsHexCode,230838602,161348
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_161518_1 - originalpoints.pls,0,0_3,149_2019,0,48,0.000250,0.000250,0.000250,0.000001,980184.000000,172480.000000,1239.000000,0.000000,979653.698,172256.700,67.408,576920.828704,980686.802,174265.248,1380.330,576940.470954,4226754,vrlsHexCode,202893626,161518
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_161726_1 - originalpoints.pls,0,0_3,149_2019,0,48,0.000250,0.000250,0.000250,0.000001,979895.000000,172379.000000,1139.000000,0.000000,979415.353,172202.272,47.505,577048.595663,980382.176,174732.357,1406.844,577077.114980,6104083,vrlsHexCode,293005418,161726
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_161905_1 - originalpoints.pls,0,0_3,149_2019,0,48,0.000250,0.000250,0.000250,0.000001,979649.000000,171981.000000,1161.000000,0.000000,979118.668,171648.884,41.158,577147.658483,980135.097,174889.972,1441.815,577181.045606,7448042,vrlsHexCode,357515450,161905
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_173536_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,977094.000000,175745.000000,1043.000000,0.000000,976669.421,175224.934,-2.225,581738.830998,978585.306,176275.570,1299.655,581761.358946,3365041,vrlsHexCode,161531402,173536
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_173707_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,976944.000000,175947.000000,1012.000000,0.000000,976878.327,175502.770,-2.111,581830.181322,978090.278,176431.940,1384.630,581846.499557,2569917,vrlsHexCode,123365450,173707
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_174013_1 - originalpoints.pls,0,0_3,151_2019,0,48,0.000250,0.000250,0.000250,0.000001,980060.000000,172581.000000,1169.000000,0.000000,979692.978,172215.875,75.466,582015.642652,981508.251,174437.394,1441.525,582044.123469,6362018,vrlsHexCode,305386298,174013
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_174133_1 - originalpoints.pls,0,0_3,151_2019,0,48,0.000250,0.000250,0.000250,0.000001,978282.000000,170179.000000,1138.000000,0.000000,978026.834,169988.225,55.804,582095.942322,981077.396,174531.675,1420.439,582142.352595,10084026,vrlsHexCode,484042682,174133
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_162124_1 - originalpoints.pls,0,0_3,149_2019,0,48,0.000250,0.000250,0.000250,0.000001,979383.000000,171796.000000,1119.000000,0.000000,978909.149,171561.973,22.420,577286.198278,979953.949,175671.285,1373.729,577330.859525,9476594,vrlsHexCode,454885946,162124
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_162306_1 - originalpoints.pls,0,0_3,149_2019,0,48,0.000250,0.000250,0.000250,0.000001,979162.000000,171068.000000,1222.000000,0.000000,978606.174,170951.452,24.654,577388.681247,979648.235,175517.340,1390.527,577433.111997,9203102,vrlsHexCode,441758330,162306
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_162537_1 - originalpoints.pls,0,0_3,149_2019,0,48,0.000250,0.000250,0.000250,0.000001,978897.000000,171194.000000,1121.000000,0.000000,978391.372,170924.523,16.580,577539.440235,979426.164,175676.166,1371.558,577593.075809,11106651,vrlsHexCode,533128682,162537
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_162730_1 - originalpoints.pls,0,0_3,149_2019,0,48,0.000250,0.000250,0.000250,0.000001,978634.000000,170452.000000,1121.000000,0.000000,978069.094,170368.662,10.185,577652.352169,979180.236,175524.649,1369.507,577704.303826,10833156,vrlsHexCode,520000922,162730
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_162957_1 - originalpoints.pls,0,0_3,149_2019,0,48,0.000250,0.000250,0.000250,0.000001,978385.000000,170492.000000,1114.000000,0.000000,977843.461,170289.789,18.023,577799.456585,978977.996,175654.039,1371.110,577874.248264,16016876,vrlsHexCode,768819482,162957
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_163206_1 - originalpoints.pls,0,0_3,149_2019,0,48,0.000250,0.000250,0.000250,0.000001,978187.000000,170247.000000,1212.000000,0.000000,977573.187,170092.449,11.642,577928.429116,978701.182,175822.065,1363.429,577987.155157,12396017,vrlsHexCode,595018250,163206
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_163425_1 - originalpoints.pls,0,0_3,149_2019,0,48,0.000250,0.000250,0.000250,0.000001,977956.000000,170451.000000,1238.000000,0.000000,977336.247,170330.466,-6.708,578067.851627,978493.943,176309.212,1353.736,578143.762804,15715499,vrlsHexCode,754353386,163425
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_163634_1 - originalpoints.pls,0,0_3,149_2019,0,48,0.000250,0.000250,0.000250,0.000001,977893.000000,173833.000000,1077.000000,0.000000,976763.272,172798.247,-2.601,578196.644188,978152.656,176177.141,1342.294,578224.374483,5221102,vrlsHexCode,250622330,163634
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_163824_1 - originalpoints.pls,0,0_3,149_2019,0,48,0.000250,0.000250,0.000250,0.000001,977649.000000,170110.000000,1081.000000,0.000000,977086.318,170086.601,-2.508,578306.238415,978243.647,176179.306,1350.144,578372.259060,13334125,vrlsHexCode,640047434,163824
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_164039_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,977391.000000,170823.000000,1106.000000,0.000000,976877.808,170650.505,-2.965,578441.242052,977954.823,176615.205,1359.805,578515.948798,14044400,vrlsHexCode,674140634,164039
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_164239_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,977134.000000,170842.000000,1088.000000,0.000000,976631.759,170681.689,-2.637,578561.662519,977706.463,176243.067,1398.271,578618.957133,10710919,vrlsHexCode,514133546,164239
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_164445_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,976893.000000,171025.000000,1100.000000,0.000000,976375.366,170922.873,-2.718,578687.670955,977485.260,175994.821,1351.217,578754.762682,11427387,vrlsHexCode,548524010,164445
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_164640_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,976663.000000,171138.000000,1081.000000,0.000000,976125.926,171003.551,16.984,578802.801961,977182.675,175504.906,1387.601,578851.478399,8688723,vrlsHexCode,417068138,164640
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_164845_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,976232.000000,171651.000000,423.000000,0.000000,975914.574,171577.357,-12.928,578927.010169,976965.610,175322.233,1353.489,578981.244019,9136906,vrlsHexCode,438580922,164845
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_165019_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,976170.000000,171936.000000,1147.000000,0.000000,975694.681,171360.017,11.914,579021.715691,976651.595,174838.795,1370.975,579058.499791,6560343,vrlsHexCode,314905898,165019
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_165210_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,975899.000000,171977.000000,1088.000000,0.000000,975381.300,171897.682,-11.287,579132.538846,976453.680,174714.796,1339.010,579169.561024,6508046,vrlsHexCode,312395642,165210
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_165342_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,975650.000000,171847.000000,1092.000000,0.000000,975125.637,171733.535,-4.131,579224.393200,976146.948,174319.559,1372.517,579256.211521,6346502,vrlsHexCode,304641530,165342
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_165523_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,975399.000000,172327.000000,1048.000000,0.000000,974849.157,172251.339,-2.501,579325.104356,975967.171,174034.442,1316.190,579351.837347,5401565,vrlsHexCode,259284554,165523
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_165636_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,975170.000000,172812.000000,1120.000000,0.000000,974772.426,172388.519,1.683,579398.054335,975598.989,173591.654,1374.788,579411.477095,2942372,vrlsHexCode,141243290,165636
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_165850_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,977551.000000,170804.000000,1193.000000,0.000000,977190.830,170180.704,35.015,579532.336678,979180.194,171330.881,1325.823,579556.510424,5421401,vrlsHexCode,260236682,165850
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_170032_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,977182.000000,170959.000000,1055.000000,0.000000,977034.333,170378.207,31.730,579634.061732,979201.330,171518.664,1323.608,579663.459042,6621457,vrlsHexCode,317839370,170032
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_170204_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,976648.000000,171244.000000,1089.000000,0.000000,976493.446,170703.088,26.550,579726.155600,979137.538,171788.180,1347.884,579754.892247,6070055,vrlsHexCode,291372074,170204
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_170324_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,976678.000000,171516.000000,1260.000000,0.000000,976407.105,170961.111,24.986,579806.935628,979540.055,172011.949,1393.079,579844.729874,7976676,vrlsHexCode,382889882,170324
10552_NYU_M2_Pulse_Waves_MTA_Resolved - Scanner 1 - 190511_170520_1 - originalpoints.pls,0,0_3,150_2019,0,48,0.000250,0.000250,0.000250,0.000001,976014.000000,171720.000000,1082.000000,0.000000,975860.775,171181.865,24.646,579922.104239,979438.973,172298.381,1358.243,579960.320193,8101814,vrlsHexCode,388896506,170520
